李彦宏, 百度
马化腾, 腾讯
马云, 阿里
雷军, 小米
董明珠, 格力
潘石屹, 企业家
林元庆, 企业家
刘强东, 京东
许家印, 恒大
史玉柱, 巨人
陈光标, 企业家
贾跃亭, 乐视
王健林, 万达
李开复, 企业家
宗庆后, 娃哈哈
周鸿祎, 360
王小川, 企业家
鲍岳桥, 企业家
丁磊, 网易
王兴, 美团ceo
俞敏洪, 企业家
张朝阳, 搜狐
李嘉诚, 企业家
牛根生, 企业家
宗馥莉, 娃哈哈
柳传志, 联想
柳青, 企业家
孙宏斌, 企业家
孙亚芳, 华为
任正非, 华为
孟晚舟, 华为
王石, 万科
刘永好, 企业家
曹国伟, 新浪
陈天桥, 盛大
黄仁勋, 英伟达
求伯君, 金山
徐直军, 企业家
余承东, 企业家
李国庆, 当当
唐骏, 企业家
古永锵, 优酷
龚宇, 企业家
王思聪, 万达
李书福, 企业家
黄光裕, 企业家
张近东, 企业家
曹德旺, 企业家
郭台铭, 企业家
罗永浩, 企业家
王雪红, 企业家
邓中翰, 企业家
王传福, 企业家
黄章, 魅族
陶华碧, 老干妈
张瑞敏, 海尔
李东生, TCL
尹明善, 力帆
梁稳根, 三一重工
刘庆峰, 科大讯飞
李想, 汽车之家
何享健, 美的
张一鸣, 字节跳动
王卫, 顺丰
徐小平, 企业家
吴欣鸿, 企业家
蔡文胜, 企业家
何鸿燊, 企业家
胡扬忠, 企业家
陆兆禧, 阿里巴巴
李学凌, YY联合创始人兼CEO
褚时健, 企业家
任志强, 企业家
蔡衍明, 旺旺
蔡明介, 联发科
霍英东, 企业家
郭为, 神州数码
段永平, 步步高
蔡崇信, 阿里巴巴
李明远, 百度原副总裁
傅成玉, 中石化
张勇, 阿里
陈一丹, 腾讯
张志东, 腾讯
刘炽平, 腾讯
任宇昕, 腾讯
汤道生, 腾讯
刘胜义, 腾讯
张小龙, 腾讯
曾李青, 腾讯
雷鸣, 酷我
林元庆, 百度
王劲, 百度
曾良, 百度
马东敏, 百度
彭蕾, 阿里
卢伟冰, 红米
程武, 腾讯
魏武挥
唐岩, 陌陌
王俊煜, 豌豆荚创始人
庄辰超, 去哪儿创始人
茅侃侃
陈欧, 聚美优品创始人
顾志诚, 酷盘CEO
毛文超, 小红书
戴志康, Discuz创始人
冯鑫, 暴风科技创始人
张旭豪, 饿了么创始人
王永庆, 台塑
